,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,wmt,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Walmart Inc,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,135.47,,-1.67,-1.22%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"377,758M",47.43,0.51,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,wmt,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Dec 3, 2020",150.28,150.28,148.39,149.30,"8,575,283"
,"Dec 4, 2020",149.51,149.51,147.58,148.91,"6,963,068"
,"Dec 7, 2020",148.46,148.99,147.16,148.11,"6,159,738"
,"Dec 8, 2020",147.36,149.85,147.18,149.45,"6,905,454"
,"Dec 9, 2020",150.00,150.00,147.89,148.27,"6,713,231"
,"Dec 10, 2020",147.75,148.15,146.57,147.04,"6,884,118"
,"Dec 11, 2020",146.92,147.51,145.94,147.00,"5,620,262"
,"Dec 14, 2020",147.70,147.72,145.40,145.65,"8,362,652"
,"Dec 15, 2020",145.52,146.36,144.86,145.58,"10,631,500"
,"Dec 16, 2020",146.24,146.89,145.08,145.43,"8,550,348"
,"Dec 17, 2020",146.06,146.44,145.15,146.10,"10,226,457"
,"Dec 18, 2020",146.62,147.18,145.16,145.95,"13,794,744"
,"Dec 21, 2020",145.50,146.67,145.06,145.97,"8,517,668"
,"Dec 22, 2020",145.15,146.23,143.14,144.20,"12,554,057"
,"Dec 23, 2020",143.54,144.22,142.30,143.22,"6,810,150"
,"Dec 24, 2020",143.54,144.39,143.18,143.50,"3,018,157"
,"Dec 28, 2020",144.04,145.30,143.33,145.22,"6,448,325"
,"Dec 29, 2020",145.64,145.85,143.59,144.30,"5,979,380"
,"Dec 30, 2020",144.88,145.15,143.94,144.18,"6,250,385"
,"Dec 31, 2020",144.20,144.27,142.85,144.15,"5,938,018"
,"Jan 4, 2021",144.30,146.89,144.28,146.53,"10,727,414"
,"Jan 5, 2021",146.60,147.07,144.49,145.75,"8,832,653"
,"Jan 6, 2021",145.09,148.10,145.01,146.66,"7,306,302"
,"Jan 7, 2021",147.62,147.76,146.04,146.65,"6,845,971"
,"Jan 8, 2021",146.88,147.00,145.81,146.63,"8,159,400"
,"Jan 11, 2021",146.00,147.99,146.00,147.29,"8,782,414"
,"Jan 12, 2021",149.00,149.93,148.32,148.97,"7,791,143"
,"Jan 13, 2021",148.75,149.07,147.43,147.45,"5,356,541"
,"Jan 14, 2021",147.82,148.00,146.04,146.97,"7,672,366"
,"Jan 15, 2021",145.14,145.90,143.67,144.64,"11,973,493"
,"Jan 19, 2021",144.64,145.07,142.67,143.39,"8,041,153"
,"Jan 20, 2021",143.59,145.66,142.89,145.51,"7,925,237"
,"Jan 21, 2021",145.36,145.73,144.21,144.85,"4,783,285"
,"Jan 22, 2021",145.60,147.34,145.12,146.33,"6,406,452"
,"Jan 25, 2021",145.36,146.25,144.27,146.20,"6,343,721"
,"Jan 26, 2021",145.63,147.81,145.47,147.51,"5,010,495"
,"Jan 27, 2021",146.96,147.86,143.55,143.84,"9,970,114"
,"Jan 28, 2021",144.46,146.26,143.63,143.75,"7,433,874"
,"Jan 29, 2021",143.18,143.75,140.35,140.49,"10,836,372"
,"Feb 1, 2021",140.91,141.49,139.19,139.27,"8,648,363"
,"Feb 2, 2021",139.76,142.15,139.44,140.77,"9,000,788"
,"Feb 3, 2021",140.66,142.05,140.63,141.20,"4,988,932"
,"Feb 4, 2021",141.79,143.18,141.26,142.53,"5,782,089"
,"Feb 5, 2021",143.46,144.85,142.53,144.36,"6,817,249"
,"Feb 8, 2021",144.81,145.58,144.46,145.03,"5,275,117"
,"Feb 9, 2021",144.58,146.32,144.58,145.83,"5,302,336"
,"Feb 10, 2021",145.83,145.90,143.54,144.13,"6,192,319"
,"Feb 11, 2021",144.14,144.95,143.71,144.02,"4,263,820"
,"Feb 12, 2021",144.16,144.61,143.67,144.47,"4,474,531"
,"Feb 16, 2021",145.94,146.39,144.93,145.66,"9,297,029"
,"Feb 17, 2021",144.65,147.50,144.50,147.20,"8,675,565"
,"Feb 18, 2021",139.00,140.70,137.50,137.66,"32,309,133"
,"Feb 19, 2021",137.80,139.42,137.67,138.34,"12,201,992"
,"Feb 22, 2021",137.74,138.34,136.25,137.69,"10,702,210"
,"Feb 23, 2021",137.11,137.39,135.06,135.47,"10,433,397"
,"Feb 24, 2021",135.87,136.16,133.05,133.21,"15,521,905"
,"Feb 25, 2021",133.10,134.01,131.48,131.95,"11,108,232"
,"Feb 26, 2021",131.48,131.81,129.86,129.92,"14,156,930"
,"Mar 1, 2021",131.58,132.57,131.13,131.37,"11,544,848"
,"Mar 2, 2021",131.51,132.75,130.01,130.11,"9,743,566"
,"Mar 3, 2021",129.50,129.93,127.55,127.59,"13,945,761"
,"Mar 4, 2021",127.86,129.58,126.28,127.53,"15,115,971"
,"Mar 5, 2021",126.83,129.75,126.75,129.12,"11,357,863"
,"Mar 8, 2021",129.33,129.84,127.81,127.88,"13,662,797"
,"Mar 9, 2021",128.80,129.88,128.32,128.89,"10,662,883"
,"Mar 10, 2021",128.86,133.05,128.47,132.18,"14,976,448"
,"Mar 11, 2021",133.36,133.49,131.53,132.13,"11,829,888"
,"Mar 12, 2021",132.52,134.52,132.08,134.12,"9,479,187"
,"Mar 15, 2021",134.74,134.75,132.82,133.43,"8,366,025"
,"Mar 16, 2021",132.82,134.28,132.82,133.39,"6,626,953"
,"Mar 17, 2021",132.50,133.14,131.98,132.28,"8,052,060"
,"Mar 18, 2021",131.16,131.95,129.93,130.01,"9,938,471"
,"Mar 19, 2021",130.13,132.50,129.90,131.74,"19,234,521"
,"Mar 22, 2021",131.00,132.45,130.99,132.37,"8,217,950"
,"Mar 23, 2021",131.71,134.30,131.63,133.94,"9,718,262"
,"Mar 24, 2021",134.43,134.43,133.05,133.11,"7,849,144"
,"Mar 25, 2021",133.26,134.53,132.87,134.01,"9,375,334"
,"Mar 26, 2021",134.00,135.20,133.42,135.13,"9,551,168"
,"Mar 29, 2021",135.00,137.01,134.60,136.67,"10,048,837"
,"Mar 30, 2021",136.33,137.59,135.47,135.74,"9,076,726"
,"Mar 31, 2021",135.55,136.86,134.96,135.83,"8,182,012"
,"Apr 1, 2021",135.94,136.89,135.33,135.62,"8,531,718"
,"Apr 5, 2021",136.72,140.16,136.20,139.43,"13,347,722"
,"Apr 6, 2021",139.11,140.95,138.52,140.10,"10,348,230"
,"Apr 7, 2021",140.30,140.75,139.65,139.80,"6,787,192"
,"Apr 8, 2021",140.45,141.12,139.66,139.71,"6,365,153"
,"Apr 9, 2021",139.63,140.09,138.71,139.78,"6,892,161"
,"Apr 12, 2021",140.07,140.38,139.34,139.80,"6,241,041"
,"Apr 13, 2021",139.80,140.00,138.87,139.37,"5,799,331"
,"Apr 14, 2021",139.12,139.46,138.42,139.32,"7,308,164"
,"Apr 15, 2021",139.40,140.47,139.20,140.16,"7,236,777"
,"Apr 16, 2021",140.89,140.96,139.71,140.61,"8,829,461"
,"Apr 19, 2021",140.29,140.57,139.61,139.71,"6,426,991"
,"Apr 20, 2021",139.42,141.77,138.82,140.79,"8,150,659"
,"Apr 21, 2021",140.77,141.70,140.53,141.20,"5,778,363"
,"Apr 22, 2021",141.08,141.45,139.42,139.67,"6,568,371"
,"Apr 23, 2021",139.10,140.34,139.03,139.90,"7,661,332"
,"Apr 26, 2021",139.91,140.00,137.64,137.91,"7,615,411"
,"Apr 27, 2021",138.00,138.95,137.55,138.38,"5,383,813"
,"Apr 28, 2021",138.35,138.59,137.87,137.89,"4,762,196"
,"Apr 29, 2021",137.90,140.00,137.90,139.63,"6,531,986"
,"Apr 30, 2021",139.71,139.99,139.11,139.91,"6,560,007"
,"May 3, 2021",139.68,142.74,139.68,142.12,"9,046,535"
,"May 4, 2021",141.54,142.03,140.10,140.72,"6,361,357"
,"May 5, 2021",140.71,141.00,140.30,140.60,"3,965,185"
,"May 6, 2021",140.00,141.36,139.45,141.05,"5,433,952"
,"May 7, 2021",141.63,141.72,139.32,140.20,"7,802,805"
,"May 10, 2021",140.45,142.08,140.31,140.82,"8,769,245"
,"May 11, 2021",140.87,140.87,138.32,139.55,"8,821,379"
,"May 12, 2021",138.87,138.98,135.91,135.94,"8,666,144"
,"May 13, 2021",136.23,138.98,135.76,138.24,"7,160,053"
,"May 14, 2021",138.81,140.24,138.43,139.52,"5,363,895"
,"May 17, 2021",140.00,140.40,138.77,138.89,"6,558,585"
,"May 18, 2021",143.51,144.58,141.21,141.91,"19,394,559"
,"May 19, 2021",140.71,143.72,140.50,141.92,"11,624,920"
,"May 20, 2021",141.50,142.87,140.70,142.42,"10,180,251"
,"May 21, 2021",142.52,143.08,141.60,141.75,"7,642,485"
,"May 24, 2021",141.76,142.42,141.36,141.76,"6,315,316"
,"May 25, 2021",141.80,142.64,141.07,142.34,"7,168,364"
,"May 26, 2021",142.39,142.88,141.76,142.17,"6,431,370"
,"May 27, 2021",143.35,143.68,141.69,141.69,"18,858,968"
,"May 28, 2021",141.93,142.45,141.64,142.03,"7,063,303"
,"Jun 1, 2021",142.21,142.80,141.27,141.66,"6,922,542"
,"Jun 2, 2021",141.39,141.71,140.09,141.35,"7,765,993"
,"Jun 3, 2021",141.39,141.85,140.75,141.60,"6,124,824"
,"Jun 4, 2021",141.46,142.29,141.25,141.85,"4,545,272"
,"Jun 7, 2021",141.85,141.97,140.39,140.90,"5,543,628"
,"Jun 8, 2021",140.51,140.90,139.81,139.83,"6,706,856"
,"Jun 9, 2021",139.34,140.01,139.03,139.08,"5,695,127"
,"Jun 10, 2021",139.08,140.19,139.08,139.88,"5,459,459"
,"Jun 11, 2021",140.23,140.85,139.86,140.75,"8,410,824"
,"Jun 14, 2021",140.93,140.93,140.03,140.56,"5,046,896"
,"Jun 15, 2021",140.84,140.91,139.66,140.00,"6,442,392"
,"Jun 16, 2021",139.85,140.04,136.97,137.15,"9,598,343"
,"Jun 17, 2021",137.00,138.35,136.71,137.72,"6,447,279"
,"Jun 18, 2021",135.44,136.39,134.40,135.17,"14,937,577"
,"Jun 21, 2021",135.66,136.75,135.35,136.40,"6,925,023"
,"Jun 22, 2021",136.23,137.72,136.23,137.03,"6,368,954"
,"Jun 23, 2021",136.50,136.99,135.93,135.96,"6,463,517"
,"Jun 24, 2021",136.17,137.24,136.10,136.91,"7,814,653"
,"Jun 25, 2021",137.13,138.86,136.92,138.53,"9,546,936"
,"Jun 28, 2021",138.04,138.64,136.60,138.10,"5,183,022"
,"Jun 29, 2021",137.90,138.47,137.23,137.30,"11,987,485"
,"Jun 30, 2021",139.56,142.58,138.69,141.02,"15,170,351"
,"Jul 1, 2021",140.41,141.25,139.01,139.32,"8,782,850"
,"Jul 2, 2021",139.35,141.08,139.35,140.11,"8,762,569"
,"Jul 6, 2021",139.90,140.75,139.51,139.94,"6,093,058"
,"Jul 7, 2021",139.76,141.19,139.36,139.71,"8,535,819"
,"Jul 8, 2021",138.34,140.65,138.22,139.59,"7,089,047"
,"Jul 9, 2021",140.41,140.84,139.93,140.30,"5,061,763"
,"Jul 12, 2021",140.69,140.79,139.33,140.05,"6,504,976"
,"Jul 13, 2021",139.99,141.18,139.94,140.58,"6,315,868"
,"Jul 14, 2021",140.71,141.80,139.83,141.55,"6,270,671"
,"Jul 15, 2021",142.00,142.64,141.09,141.66,"5,991,612"
,"Jul 16, 2021",141.70,142.13,140.95,141.56,"6,031,805"
,"Jul 19, 2021",141.41,142.98,139.77,141.23,"9,127,720"
,"Jul 20, 2021",140.97,142.47,140.78,141.87,"6,340,100"
,"Jul 21, 2021",142.50,142.54,140.71,141.17,"6,197,299"
,"Jul 22, 2021",141.13,142.12,140.80,141.27,"4,337,765"
,"Jul 23, 2021",141.52,142.72,141.01,142.43,"5,315,836"
,"Jul 26, 2021",142.36,143.86,141.46,142.63,"6,172,445"
,"Jul 27, 2021",143.00,143.00,141.96,142.64,"5,131,905"
,"Jul 28, 2021",142.48,143.25,141.66,142.06,"4,690,487"
,"Jul 29, 2021",142.64,142.85,142.02,142.24,"3,687,689"
,"Jul 30, 2021",141.20,142.96,141.20,142.55,"5,444,061"
,"Aug 2, 2021",142.83,142.87,141.67,142.22,"6,652,841"
,"Aug 3, 2021",142.44,143.90,142.36,143.82,"6,305,118"
,"Aug 4, 2021",143.38,143.94,142.74,142.84,"5,100,528"
,"Aug 5, 2021",144.23,145.54,143.99,145.49,"9,001,814"
,"Aug 6, 2021",146.21,146.47,144.95,145.23,"6,421,230"
,"Aug 9, 2021",145.91,146.48,145.40,145.58,"5,270,591"
,"Aug 10, 2021",146.97,148.95,146.25,148.68,"12,754,045"
,"Aug 11, 2021",149.51,151.58,149.16,150.01,"13,818,560"
,"Aug 12, 2021",149.00,150.21,148.81,149.06,"6,092,424"
,"Aug 13, 2021",149.38,150.36,149.16,149.53,"5,327,070"
,"Aug 16, 2021",149.68,151.73,149.04,150.75,"15,975,648"
,"Aug 17, 2021",150.40,152.50,149.10,150.70,"16,983,362"
,"Aug 18, 2021",150.55,152.57,149.02,149.10,"9,403,945"
,"Aug 19, 2021",148.33,150.66,148.00,150.11,"7,543,457"
,"Aug 20, 2021",150.48,151.72,149.75,151.45,"6,466,796"
,"Aug 23, 2021",151.53,151.79,150.41,150.45,"5,388,696"
,"Aug 24, 2021",150.50,150.50,148.70,148.90,"6,276,273"
,"Aug 25, 2021",148.41,149.28,148.03,148.96,"7,307,055"
,"Aug 26, 2021",147.47,148.27,146.67,147.35,"7,822,284"
,"Aug 27, 2021",147.51,147.69,146.18,146.52,"7,696,152"
,"Aug 30, 2021",146.42,148.00,146.02,147.70,"5,480,212"
,"Aug 31, 2021",147.99,148.44,147.24,148.10,"8,359,517"
,"Sep 1, 2021",147.56,147.93,146.57,147.78,"6,352,226"
,"Sep 2, 2021",148.12,148.79,147.69,148.56,"6,674,064"
,"Sep 3, 2021",148.20,149.65,147.90,149.25,"5,737,903"
,"Sep 7, 2021",148.97,149.17,147.06,147.27,"8,451,983"
,"Sep 8, 2021",146.95,148.32,146.73,147.46,"6,502,784"
,"Sep 9, 2021",147.46,147.61,145.84,146.42,"7,442,869"
,"Sep 10, 2021",147.20,147.24,145.43,145.89,"5,258,401"
,"Sep 13, 2021",146.52,147.15,144.64,145.06,"6,509,765"
,"Sep 14, 2021",145.48,145.88,143.92,144.30,"5,511,250"
,"Sep 15, 2021",144.07,144.75,143.79,144.55,"4,949,986"
,"Sep 16, 2021",144.44,145.31,143.69,145.03,"6,142,756"
,"Sep 17, 2021",144.14,146.16,144.02,144.73,"24,346,373"
,"Sep 20, 2021",143.50,145.19,141.62,142.74,"8,351,467"
,"Sep 21, 2021",142.70,144.58,142.67,143.02,"5,812,490"
,"Sep 22, 2021",143.47,143.60,142.29,142.69,"5,014,843"
,"Sep 23, 2021",143.22,143.63,142.45,142.77,"5,195,140"
,"Sep 24, 2021",142.50,143.69,142.49,143.17,"4,453,540"
,"Sep 27, 2021",142.87,143.55,141.84,142.25,"7,083,554"
,"Sep 28, 2021",141.88,142.07,139.99,140.50,"6,860,254"
,"Sep 29, 2021",140.65,141.83,140.32,140.44,"7,125,163"
,"Sep 30, 2021",140.64,141.73,139.25,139.38,"7,490,235"
,"Oct 1, 2021",139.26,139.63,135.92,137.05,"10,004,847"
,"Oct 4, 2021",137.09,138.23,134.71,135.73,"9,990,084"
,"Oct 5, 2021",135.95,137.71,135.90,136.62,"6,865,805"
,"Oct 6, 2021",136.24,137.79,136.13,137.62,"6,458,888"
,"Oct 7, 2021",138.78,140.70,138.76,139.24,"7,022,709"
,"Oct 8, 2021",139.66,140.09,139.01,139.66,"4,615,761"
,"Oct 11, 2021",139.52,140.78,139.44,139.53,"4,349,427"
,"Oct 12, 2021",139.34,140.41,139.07,139.38,"5,263,099"
,"Oct 13, 2021",139.50,140.01,138.13,138.37,"5,981,501"
,"Oct 14, 2021",138.50,140.07,138.50,139.87,"6,597,204"
,"Oct 15, 2021",140.62,141.10,139.96,140.55,"6,912,387"
,"Oct 18, 2021",140.00,142.01,139.83,141.68,"6,628,966"
,"Oct 19, 2021",144.63,145.61,143.66,144.69,"11,148,099"
,"Oct 20, 2021",144.89,146.49,144.89,146.00,"5,817,866"
,"Oct 21, 2021",146.58,146.92,145.81,146.81,"4,651,463"
,"Oct 22, 2021",147.10,149.69,147.10,148.34,"7,065,242"
,"Oct 25, 2021",148.78,150.52,148.01,150.06,"6,429,329"
,"Oct 26, 2021",150.00,150.55,148.46,148.75,"5,806,238"
,"Oct 27, 2021",148.96,149.02,147.39,147.53,"4,855,225"
,"Oct 28, 2021",148.34,148.98,147.71,148.45,"4,199,471"
,"Oct 29, 2021",147.91,150.10,147.56,149.42,"7,340,928"
,"Nov 1, 2021",149.98,150.75,149.35,149.79,"4,183,158"
,"Nov 2, 2021",149.97,150.18,149.28,149.72,"4,546,347"
,"Nov 3, 2021",149.60,150.29,149.03,150.18,"4,736,531"
,"Nov 4, 2021",150.18,151.85,149.83,151.28,"5,049,739"
,"Nov 5, 2021",152.00,152.00,149.62,150.23,"5,027,294"
,"Nov 8, 2021",150.22,150.51,148.73,149.27,"5,124,422"
,"Nov 9, 2021",149.52,149.87,148.87,149.79,"5,000,591"
,"Nov 10, 2021",148.73,149.62,147.98,148.44,"5,601,211"
,"Nov 11, 2021",148.77,148.99,148.19,148.50,"4,534,383"
,"Nov 12, 2021",149.00,149.24,147.54,147.76,"6,104,559"
,"Nov 15, 2021",148.15,148.45,146.40,146.91,"9,631,988"
,"Nov 16, 2021",145.10,146.68,142.30,143.17,"24,662,231"
,"Nov 17, 2021",143.16,144.72,141.82,141.94,"11,038,738"
,"Nov 18, 2021",142.14,143.29,140.86,143.16,"8,135,824"
,"Nov 19, 2021",143.62,144.00,141.94,142.39,"9,380,728"
,"Nov 22, 2021",142.66,145.36,142.00,144.78,"9,716,788"
,"Nov 23, 2021",144.25,145.98,143.25,145.81,"9,972,448"
,"Nov 24, 2021",145.73,147.06,145.64,146.54,"6,029,780"
,"Nov 26, 2021",146.44,147.88,144.42,144.90,"7,013,238"
,"Nov 29, 2021",145.00,145.25,142.23,142.63,"11,013,172"
,"Nov 30, 2021",141.48,142.50,140.01,140.63,"21,606,348"
,"Dec 1, 2021",140.51,140.72,137.04,137.14,"12,229,044"